dataset: Sun hours;;
source: https://en.wikipedia.org/wiki/List_of_cities_by_sunshine_duration#References;;
city;month;sun_hours
Cape Town, South Africa;jan;338
Cape Town, South Africa;feb;297
Cape Town, South Africa;mar;293
Cape Town, South Africa;apr;234
Cape Town, South Africa;may;205
Cape Town, South Africa;jun;175
Cape Town, South Africa;jul;193
Cape Town, South Africa;aug;212
Cape Town, South Africa;sep;225
Cape Town, South Africa;oct;278
Cape Town, South Africa;nov;310
Cape Town, South Africa;dec;334
Livingstone, Zambia;jan;214
Livingstone, Zambia;feb;196
Livingstone, Zambia;mar;251
Livingstone, Zambia;apr;273
Livingstone, Zambia;may;304
Livingstone, Zambia;jun;288
Livingstone, Zambia;jul;310
Livingstone, Zambia;aug;319
Livingstone, Zambia;sep;297
Livingstone, Zambia;oct;279
Livingstone, Zambia;nov;228
Livingstone, Zambia;dec;208
Los Angeles, USA;jan;225
Los Angeles, USA;feb;223
Los Angeles, USA;mar;267
Los Angeles, USA;apr;304
Los Angeles, USA;may;276
Los Angeles, USA;jun;276
Los Angeles, USA;jul;364
Los Angeles, USA;aug;350
Los Angeles, USA;sep;279
Los Angeles, USA;oct;255
Los Angeles, USA;nov;217
Los Angeles, USA;dec;219
Stockholm, Sweden;jan;40
Stockholm, Sweden;feb;72
Stockholm, Sweden;mar;139
Stockholm, Sweden;apr;185
Stockholm, Sweden;may;254
Stockholm, Sweden;jun;292
Stockholm, Sweden;jul;260
Stockholm, Sweden;aug;221
Stockholm, Sweden;sep;154
Stockholm, Sweden;oct;99
Stockholm, Sweden;nov;54
Stockholm, Sweden;dec;33
